N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
143,대웅,"38,900",300,+0.78%,500,"22,617","58,142",3.78,"352,211",26.28,15.10,
144,현대엘리베이,"53,700",700,-1.29%,"5,000","21,918","40,815",27.73,"218,077",19.58,9.78,
145,코오롱인더,"78,500",700,-0.88%,"5,000","21,178","26,979",18.64,"289,418",26.01,9.70,
146,대웅제약,"181,500","4,000",+2.25%,"2,500","21,030","11,587",6.36,"197,122",-190.65,2.38,
147,HDC현대산업개발,"30,900",600,+1.98%,"5,000","20,365","65,907",11.31,"222,762",9.84,8.85,
148,KODEX 200선물인버스2X,"1,865",0,0.00%,0,"20,282","1,087,500",2.01,"111,806,567",N/A,N/A,
149,LS ELECTRIC,"66,500","1,000",+1.53%,"5,000","19,950","30,000",14.86,"149,817",25.35,6.15,
150,농심,"324,000","1,000",+0.31%,"5,000","19,708","6,083",13.70,"17,766",15.30,7.50,
151,동국제강,"20,600",100,+0.49%,"5,000","19,659","95,433",22.02,"333,813",9.33,3.35,
152,오뚜기,"535,000","2,000",-0.37%,"5,000","19,645","3,672",12.69,"2,658",20.29,7.93,
153,한전기술,"51,400",0,0.00%,200,"19,645","38,220",2.05,"180,953",117.35,N/A,
154,금호타이어,"6,730",50,+0.75%,"5,000","19,333","287,260",4.24,"181,813",-126.98,-6.74,
155,진원생명과학,"42,350",400,+0.95%,"1,000","19,147","45,212",13.86,"1,585,786",-96.91,-30.43,
156,한전KPS,"42,250",150,+0.36%,200,"19,012","45,000",8.71,"95,760",17.62,8.23,
157,현대백화점,"81,000",300,-0.37%,"5,000","18,956","23,402",18.73,"69,378",19.44,1.65,
158,솔루스첨단소재,"61,700","1,200",+1.98%,100,"18,874","30,590",7.69,"258,167",-170.44,-5.10,
159,KODEX 삼성그룹,"10,825",130,+1.22%,0,"18,608","171,900",0.02,"450,698",N/A,N/A,
160,롯데정밀화학,"71,500",200,-0.28%,"5,000","18,447","25,800",19.74,"95,337",9.40,12.65,
161,한미반도체,"37,150",50,-0.13%,200,"18,374","49,460",8.53,"300,118",30.35,21.03,
162,프레스티지바이오파마,"30,450","2,050",+7.22%,0,"18,299","60,096",63.72,"713,586",-90.62,N/A,
163,영원무역,"40,600",550,-1.34%,500,"17,990","44,311",27.69,"113,501",11.64,8.03,
164,지누스,"110,000",0,0.00%,500,"17,380","15,800",22.53,"42,537",36.30,11.61,
165,한국앤컴퍼니,"18,300",100,+0.55%,500,"17,373","94,935",9.58,"80,447",8.44,5.08,
